loc_char_oso_00_bio;“Prudence, wisdom and empathy with the environment have equipped this charismatic bear with an unrivalled skill on the pitch. Before each match, he practises transcendental meditation for an hour. But after the kick-off, there's no peace: the bear unsheathes his claws in the knowledge that life is fleeting... especially in the case of his rivals. Not every Moustakim Vitalievich in the multiverse is as long-suffering, sane and noble as the one who inhabits the Original Premiumverse. He’s always in the starting line-up of the honourable Plantigrade Sputnik Bears. However, in Universe B022, instead of working to free his planet, he prefers to defend the team colours of the feudal Plantigrade Tzars. Meanwhile, the Moustakim in Universe R02 devoured a mutant in a piece of play, and now he’s got chronic heartburn.”
loc_char_oso_00_descr;“I never lose patience, but sometimes patience loses me.”
loc_char_oso_01_bio;“He's promised to wear a mask until his planet, Plantigrade, is free of foreign threats. He would be willing to die on the pitch for his team's honour and his compatriots' rights. All of the alternate Aleksei Rollans in infinite multiverses are ferocious and tough. In the Original Premiumverse, he’s loyal to the Plantigrade Sputnik Bears, but in other parallel realities his professional career has been more colourful. For instance, in Universe C130 he plays on the Yuri Gagarin tribute team, and in B029 he sells hot dogs at Third Kind Stadium and wears a Mexican sombrero instead of a mask. The Aleksei Rollan in Universe A002 is a particularly tragic figure; his son was kidnapped to force him to play for the mutant team Cesius Mayhem.”
loc_char_oso_01_descr;“If I show you my face, it will be the last thing you see.”
loc_char_oso_02_bio;“He became a hero in the fight for his planet's freedom by harassing the enemy from the forest, striking and then making a rapid retreat. Now he's deploying all that talent in sport as a means of drawing attention to Plantigrade's cause. In most of the charted parallel realities, he’s still a guerrilla fighter and explosives expert, hiding out in the dense Plantigrade forest. Only in a handful of universes is he an Aces of the Multiverse player. In the Original Premiumverse, he’s joined the ranks of the Plantigrade Sputnik Bears (who else?). However, in Universe Z003, for example, he hangs with a team of egogirls who've made him their mascot—but he doesn’t mind, because they give him plenty of toast with honey. ”
loc_char_oso_02_descr;“Where I come from, putting your paw in it means destroying the enemy.”
loc_char_oso_03_bio;“There's no taboo about age among the ursine inhabitants of Plantigrade. The fact that their brain matures so quickly makes them excellent Aces of Multiverse fighters or players from a very young age. Kirill is a case in point. At just 10 years old, he's already making a name for himself in the professional leagues of this sport and is passionately defending his planet's colours. All the quantum versions of this little guy scattered across the multiverse have one thing in common: a special talent for playing Aces of the Multiverse. However, he doesn't always use his talent the same way in different parallel realities. In the Original Premiumverse, he’s never left the ranks of his home planet’s team, the Plantigrade Sputnik Bears. In Universe U03 (known as University Universe), he’s joined a team of youngsters called the Galactic Hitchhikers and is saving up for his gap years. In Universe F404 (the Fashion Universe) he’s also talented, but he doesn't play because perspiration mats his fur.”
loc_char_oso_03_descr;“This is child's play for me.”
loc_char_oso_04_bio;“In his commitment to a fairer planet, Leonid Arkaimovich is a Plantigrader determined to check his privileges and change male roles. As part of this endeavour, he's using CyberMarsupial technology to take care of his child 24 hours a day, even on the pitch. In the Original Premiumverse, Leonid carries his son while defending the honour of the Plantigrade Sputnik Bears, but in more than a few parallel realities it’s the son who carries Leonid. In Universe T100 they’ve been recruited by a team of robots who think they’re some kind of two-headed biological creature. In E203, instead of racing down the pitch they race to auditions for commercials; Leonid is determined to make his son the new face of the next kids’ wear brand.”
loc_char_oso_04_descr;“He who plays for himself, only plays. He who plays for the future of his children, makes war.”
